id,locale,alias,type,entity_id
9328,en,TWN,iso-3166-3,2193
9329,en,Republic of China,abbreviation,2193
9330,de,Tadschikistan,German Name,2194
9331,es,República de Tayikistán;Tayikistán,Spanish Name,2194
9332,fr,le Tadjikistan;la République du Tadjikistan,French Name,2194
9333,en,TJ,iso-3166-2,2194
9334,en,TJK,iso-3166-3,2194
9335,de,Tansania,German Name,2195
9336,es,República Unida de Tanzania;Tanzania,Spanish Name,2195
9337,fr,la Tanzanie,French Name,2195
9338,en,TZ,iso-3166-2,2195
9339,en,TZA,iso-3166-3,2195
9340,de,Thailand,German Name,2196
9341,es,Reino de Tailandia;Tailandia,Spanish Name,2196
9342,fr,la Thaïlande;le Royaume de Thaïlande,French Name,2196
9343,en,TH,iso-3166-2,2196
9344,en,THA,iso-3166-3,2196
9345,de,Osttimor,German Name,2197
9346,es,Timor Oriental,Spanish Name,2197
9347,fr,Timor-Leste,French Name,2197
9348,en,TL,iso-3166-2,2197
9349,en,TLS,iso-3166-3,2197
9350,de,Togo,German Name,2198
9351,es,República Togolesa;Togo,Spanish Name,2198
9352,fr,le Togo;la République togolais,French Name,2198
9353,en,TG,iso-3166-2,2198
9354,en,TGO,iso-3166-3,2198
9355,de,Tokelau,German Name,2199
9356,es,Tokelau,Spanish Name,2199
9357,fr,Tokelau,French Name,2199
9358,en,TK,iso-3166-2,2199
9359,en,TKL,iso-3166-3,2199
9360,de,Tonga; Königreich Tonga,German Name,2200
9361,es,Reino de Tonga;Tonga,Spanish Name,2200
9362,fr,les Tonga;le Royaume des Tong,French Name,2200
9363,en,TO,iso-3166-2,2200
9364,en,TON,iso-3166-3,2200
9365,de,Trinidad und Tobago,German Name,2201
9366,es,República de Trinidad y Tobago;Trinidad y Tobago,Spanish Name,2201
9367,fr,la Trinité-et-Tobago,French Name,2201
9368,en,TT,iso-3166-2,2201
9369,en,TTO,iso-3166-3,2201
9370,de,Tunesien,German Name,2202
9371,es,República Tunecina;Túnez,Spanish Name,2202
9372,fr,la Tunisie;la République tunisienne,French Name,2202
9373,en,TN,iso-3166-2,2202
9374,en,TUN,iso-3166-3,2202
9375,de,Türkei,German Name,2203
9376,es,República de Turquía;Turquía,Spanish Name,2203
9377,fr,la Turquie;la République de Turquie,French Name,2203
9378,en,TR,iso-3166-2,2203
9379,en,TUR,iso-3166-3,2203
9380,de,Turkmenistan,German Name,2204
9381,es,Turkmenistán,Spanish Name,2204
9382,fr,le Turkménistan,French Name,2204
9383,en,TM,iso-3166-2,2204
9384,en,TKM,iso-3166-3,2204
9385,de,Turks- und Caicosinseln,German Name,2205
9386,es,Islas Turcas y Caicos,Spanish Name,2205
9387,fr,îles Turques-et-Caïques,French Name,2205
9388,en,TC,iso-3166-2,2205
9389,en,TCA,iso-3166-3,2205
9391,de,Tuvalu,German Name,2206
9392,es,Tuvalu,Spanish Name,2206
9393,fr,les Tuvalu,French Name,2206
9394,en,TV,iso-3166-2,2206
9395,en,TUV,iso-3166-3,2206
9396,de,US Jungferninseln,German Name,2207
9397,es,Islas Vírgenes de EE.UU,Spanish Name,2207
9398,fr,Îles Vierges américaines,French Name,2207
9399,en,VI,iso-3166-2,2207
9400,en,VIR,iso-3166-3,2207
9401,de,Uganda,German Name,2208
9402,es,República de Uganda;Uganda,Spanish Name,2208
9403,fr,l'Ouganda;la République d'Ouganda,French Name,2208
9404,en,UG,iso-3166-2,2208
9405,en,UGA,iso-3166-3,2208
9406,de,Ukraine,German Name,2209
9407,es,Ucrania,Spanish Name,2209
9408,fr,Ukraine,French Name,2209
9409,en,UA,iso-3166-2,2209
9410,en,UKR,iso-3166-3,2209
9411,de,Vereinigte Arabische Emirate,German Name,2210
9412,es,Emiratos Árabes Unidos,Spanish Name,2210
9413,fr,les Émirats arabes unis;la fédération des Émirats arabes unis,French Name,2210
9414,en,AE,iso-3166-2,2210
9415,en,ARE,iso-3166-3,2210
9416,en,UAE,abbreviation,2210
9417,de,Vereinigtes Königreich,German Name,2211
9418,es,Reino Unido de Gran Bretaña e Irlanda del Norte;Reino Unido,Spanish Name,2211
9419,fr,Royaume-Uni,French Name,2211
9420,en,GB,iso-3166-2,2211
9421,en,GBR,iso-3166-3,2211
9422,de,Vereinigte Staaten,German Name,2212
9423,es,Los Estatados Unidos,Spanish Name,2212
9424,fr,les États-Unis,French Name,2212
9425,en,US,iso-3166-2,2212
9426,en,USA,iso-3166-3,2212
9427,en,USA; United States of America,abbreviation,2212
9428,de,Vereinigte Staaten Minor Outlying Islands; Kleinere Inselbesitzungen der Vereinigten Staaten,German Name,2213
9429,es,Islas menores alejadas de los Estados Unidos,Spanish Name,2213
9430,fr,Îles mineures éloignées des États-Unis,French Name,2213
9431,en,UM,iso-3166-2,2213
9432,en,UMI,iso-3166-3,2213
9433,de,Uruguay,German Name,2214
9434,es,República Oriental del Uruguay;Uruguay,Spanish Name,2214
9435,fr,Uruguay,French Name,2214
9436,en,UY,iso-3166-2,2214
9437,en,URY,iso-3166-3,2214
9438,de,Usbekistan,German Name,2215
9439,es,República de Uzbekistán;Uzbekistán,Spanish Name,2215
9440,fr,l'Ouzbékistan;la République d'Ouzbékistan,French Name,2215
9441,en,UZ,iso-3166-2,2215
9442,en,UZB,iso-3166-3,2215
9443,de,Vanuatu,German Name,2216
9444,es,República de Vanuatu;Vanuatu,Spanish Name,2216
9445,fr,Vanuatu,French Name,2216
9446,en,VU,iso-3166-2,2216
9447,en,VUT,iso-3166-3,2216
9448,de,Vatikanstadt,German Name,2217
9449,es,Ciudad del Vaticano,Spanish Name,2217
9450,fr,Cité du Vatican,French Name,2217
9451,en,VA,iso-3166-2,2217
9452,en,VAT,iso-3166-3,2217
9453,de,Venezuela,German Name,2218
9454,es,República Bolivariana de Venezuela;Venezuela,Spanish Name,2218
9455,fr,Venezuela; République bolivarienne du Venezuela,French Name,2218
9456,en,VE,iso-3166-2,2218
9457,en,VEN,iso-3166-3,2218
9458,en,Bolivarian Republic of Venezuel,abbreviation,2218
